City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,fort dix,40.0298,-74.6185,3.14,69,100,0.0,US,1674365363
205,ponnani,10.767,75.9252,26.62,53,71,2.54,IN,1674365363
206,anahuac,27.2333,-100.15,15.35,58,6,1.13,MX,1674364849
207,cotia,-23.6704,-46.9472,20.46,97,100,1.66,BR,1674364802
208,isangel,-19.55,169.2667,29.28,72,95,2.55,VU,1674365364
209,zachary,30.6485,-91.1565,12.05,96,100,3.09,US,1674365364
210,korla,41.7597,86.1469,-8.74,60,3,4.1,CN,1674364871
211,alofi,-19.0595,-169.9187,28.94,74,11,4.63,NU,1674364599
212,tottori,35.5,134.2333,7.04,53,75,1.03,JP,1674365365
213,bud,39.447,-86.1758,-0.99,91,78,1.96,US,1674364847
214,kalabo,-14.97,22.6814,18.57,95,100,3.21,ZM,1674365365
215,beira,-19.8436,34.8389,26.05,94,40,2.57,MZ,1674365365
216,opuwo,-18.0607,13.84,17.99,69,97,1.77,NA,1674365366
217,the valley,18.217,-63.0578,25.05,74,0,7.41,AI,1674365366
218,siguiri,11.6667,-9.5,22.15,22,0,0.93,GN,1674365366
219,moranbah,-22.0016,148.0466,31.18,45,2,3.7,AU,1674365367
220,monrovia,6.3005,-10.7969,25.28,86,100,2.87,LR,1674365367
221,neiafu,-18.65,-173.9833,30.38,70,20,4.12,TO,1674364916
222,peniche,39.3558,-9.3811,10.06,94,3,5.49,PT,1674365348
223,ballina,-28.8667,153.5667,26.55,74,59,4.03,AU,1674364900
224,tiksi,71.6872,128.8694,-27.44,86,100,2.15,RU,1674364798
225,yerofey pavlovich,53.9667,121.9667,-31.21,83,94,1.86,RU,1674365368
226,alamogordo,32.8995,-105.9603,1.67,58,75,3.6,US,1674365060
227,batken,39.8333,71.0,-8.13,51,42,0.77,KG,1674365369
228,ballitoville,-29.539,31.2144,26.8,88,0,1.03,ZA,1674365369
229,taybad,34.74,60.7756,-1.43,47,1,3.65,IR,1674365369
230,coahuayana,18.7333,-103.6833,20.18,90,0,1.65,MX,1674365370
231,georgetown,5.4112,100.3354,30.96,74,40,2.06,MY,1674364639
232,laguna,38.421,-121.4238,7.83,84,0,0.0,US,1674365092
233,torbay,47.6666,-52.7314,0.42,97,100,12.86,CA,1674364788
234,kavieng,-2.5744,150.7967,28.61,73,100,1.82,PG,1674364882
235,chokurdakh,70.6333,147.9167,-40.31,100,98,3.3,RU,1674364819
236,mount gambier,-37.8333,140.7667,21.73,52,2,5.76,AU,1674364905
237,pitimbu,-7.4706,-34.8086,25.33,79,2,3.13,BR,1674365370
238,axim,4.8699,-2.2405,26.21,84,49,2.59,GH,1674365371
239,den helder,52.9599,4.7593,2.99,77,100,4.63,NL,1674365371
240,rodeo,38.033,-122.2669,10.57,74,0,2.06,US,1674365371
241,sobolevo,54.4299,31.8996,-0.33,87,100,2.77,RU,1674364929
242,henties bay,-22.116,14.2845,18.12,89,78,1.81,NA,1674365372
243,avera,33.194,-82.5271,5.73,70,100,2.73,US,1674364846
244,los llanos de aridane,28.6585,-17.9182,15.62,75,75,4.63,ES,1674364853
245,kaeo,-35.1,173.7833,22.96,92,37,1.99,NZ,1674364958
246,kidal,18.4411,1.4078,18.8,14,0,1.86,ML,1674365373
247,libertador general san martin,-23.8064,-64.7876,23.7,80,100,1.51,AR,1674365373
248,yelniki,54.6207,43.876,-8.83,89,100,3.44,RU,1674365373
249,katsuura,35.1333,140.3,5.62,90,100,5.52,JP,1674364948
250,davila,18.4726,120.5763,28.99,63,97,3.34,PH,1674365374
251,cascais,38.6979,-9.4215,11.63,78,2,9.83,PT,1674365374
252,ancud,-41.8697,-73.8203,14.84,97,95,2.05,CL,1674364644
253,san quintin,30.4833,-115.95,12.76,56,0,2.11,MX,1674365331
254,orlik,52.5178,99.825,-31.66,83,29,0.14,RU,1674365375
255,zabid,14.1951,43.3152,23.84,67,2,1.73,YE,1674365257
256,gayny,60.3071,54.3241,-5.06,96,100,2.76,RU,1674365375
257,haimen,23.1935,116.6142,15.94,83,93,2.67,CN,1674365376
258,vila franca do campo,37.7167,-25.4333,14.23,75,91,3.04,PT,1674364839
259,alice springs,-23.7,133.8833,33.75,40,32,5.66,AU,1674365160
260,eyl,7.9803,49.8164,24.3,67,80,9.18,SO,1674365376
261,faya,18.3851,42.4509,12.06,76,4,0.45,SA,1674364944
262,soubre,5.7856,-6.6083,22.37,94,90,0.92,CI,1674365377
263,altay,47.8667,88.1167,-20.8,75,16,1.18,CN,1674365377
264,flin flon,54.7682,-101.865,-14.06,100,99,1.78,CA,1674364805
265,qasigiannguit,68.8193,-51.1922,-24.86,75,96,4.1,GL,1674364804
266,bhongaon,27.25,79.1833,19.24,44,0,2.16,IN,1674365377
267,lorengau,-2.0226,147.2712,28.21,76,100,1.17,PG,1674364837
268,caraguatatuba,-23.6338,-45.4899,21.75,95,44,1.67,BR,1674365378
269,talara,-4.5772,-81.2719,21.78,80,8,4.45,PE,1674365378
270,kurumkan,54.3,110.3,-30.5,88,65,0.48,RU,1674365379
271,souillac,-20.5167,57.5167,27.21,83,40,4.63,MU,1674364843
272,broken hill,-31.95,141.4333,30.3,26,0,5.67,AU,1674365271
273,bathsheba,13.2167,-59.5167,25.34,73,20,6.69,BB,1674365334
274,longhua,23.6137,114.1919,24.31,53,56,0.77,CN,1674365379
275,poum,-20.2333,164.0167,27.22,83,100,6.02,NC,1674364886
276,bara,10.3744,10.7288,19.11,24,93,2.94,NG,1674365113
277,alta floresta,-9.8756,-56.0861,21.74,98,100,1.22,BR,1674364920
278,pacifica,37.6138,-122.4869,10.78,82,40,4.12,US,1674365380
279,dubti,11.7361,41.0853,21.31,69,8,5.55,ET,1674365380
280,kinshasa,-4.3246,15.3215,22.04,91,100,0.83,CD,1674365115
281,namatanai,-3.6667,152.4333,29.3,68,100,2.02,PG,1674365381
282,olinda,-8.0089,-34.8553,26.85,74,40,2.06,BR,1674365187
